dataset_id,year,regional,local,latitude,longitude,effort,study_type,data_pooled_by_authors,data_pooled_by_authors_comment,sampling_years,alpha_grain_m2,alpha_grain_type,alpha_grain_comment,gamma_bounding_box_km2,gamma_bounding_box_type,gamma_bounding_box_comment,gamma_sum_grains_km2,gamma_sum_grains_type,gamma_sum_grains_comment,realm,taxon,comment,comment_standardisation
hibit_2019,1970,Hawaii,Plot 3,21.5720996856689,-158.210861206055,1,resurvey,FALSE,,,400,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,4e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,2017,Hawaii,Plot 3,21.5720996856689,-158.210861206055,1,resurvey,FALSE,,,400,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,4e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,1970,Hawaii,Plot 4,21.5496139526367,-158.180023193359,1,resurvey,FALSE,,,600,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,6e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,2017,Hawaii,Plot 4,21.5496139526367,-158.180023193359,1,resurvey,FALSE,,,400,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,4e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,1970,Hawaii,Plot 5,21.5701713562012,-158.201126098633,1,resurvey,FALSE,,,1200,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,0.0012,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,2017,Hawaii,Plot 5,21.5701713562012,-158.201126098633,1,resurvey,FALSE,,,400,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,4e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,1970,Hawaii,Plot 6,21.5262813568115,-158.155303955078,1,resurvey,FALSE,,,600,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,6e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,2017,Hawaii,Plot 6,21.5262813568115,-158.155303955078,1,resurvey,FALSE,,,400,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,4e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,1970,Hawaii,Plot 7,21.5237808227539,-158.152801513672,1,resurvey,FALSE,,,1000,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,0.001,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
hibit_2019,2017,Hawaii,Plot 7,21.5237808227539,-158.152801513672,1,resurvey,FALSE,,,400,sample,area of the sampling sites,1545,island,area of the Island of Oahu Hawaii,4e-04,sample,sum of sampled areas per year,Terrestrial,Plants,"Extracted from Hibit et al 2019 table 4. Authors resurveyed plots in 2017 that were originally sampled in 1970 to assess native and exotic species dynamics. Despite different sampling efforts, the authors tried to reproduce original method and plot delimitations hence the resurvey categorisation. 'The sites used by Hatheway and Wirawan were located using coordinates provided in each study, [...]These coordinates did not always exactly match site descriptions, so they were compared with site pictures, slopes, elevations, and plant community compositions to obtain the best fit for where each site originally existed.[...]For consistency, our study utilized a standardized plot size of 20 × 20 m (400m2). These plots were square, rather than the circular plots which had been utilized by Wirawan (1974). Due to variability in plot sizes in 1970, plots 4–7 were larger in 1970 than 2017 (Table 1).' Regional is the whole island. Local is a semi-permanent sampling site. ",Varying effort has been standardised by excluding Plots 1 and 2 and rarefying the communities to the smallest observed sampled abundance (Nmin = 105).
kolari_2021,1998,"Elimyssalo Nature Reserve, Finland",high pH,64.1999969482422,30.4333324432373,53,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.325e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
kolari_2021,2018,"Elimyssalo Nature Reserve, Finland",high pH,64.1999969482422,30.4333324432373,53,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.325e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
kolari_2021,1998,"Elimyssalo Nature Reserve, Finland",intermediate pH,64.1999969482422,30.4333324432373,52,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.3e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
kolari_2021,2018,"Elimyssalo Nature Reserve, Finland",intermediate pH,64.1999969482422,30.4333324432373,52,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.3e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
kolari_2021,1998,"Elimyssalo Nature Reserve, Finland",low pH,64.1999969482422,30.4333324432373,45,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.125e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
kolari_2021,2018,"Elimyssalo Nature Reserve, Finland",low pH,64.1999969482422,30.4333324432373,45,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.125e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
kolari_2021,1998,"Elimyssalo Nature Reserve, Finland",very low pH,64.1999969482422,30.4333324432373,53,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.325e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
kolari_2021,2018,"Elimyssalo Nature Reserve, Finland",very low pH,64.1999969482422,30.4333324432373,53,resurvey,FALSE,,,0.25,sample,The vegetation data [...] consists of 0.25 m2 plots,0.171,functional,area of the wetland,1.325e-05,plot,area of sampled plots,Terrestrial,Plants,"Extracted from table 1, DOI: 10.1002/ece3.7592. Methods: 'The study site “Härkösuo” mire is a narrow, sloping fen, approximately 1 km long and up to 150 m wide (0.171km2).[...]The vegetation data of Tahvanainen et al. (2002) consists of 0.25m2 plots at all water sampling points (n=77), 148 plots randomly chosen within the grid squares, and 15 additional plots near the springs with 5-m interval. In summer 2018, we repeated the water sampling and vegetation survey. Original vegetation plots had coordinates of 1-m accuracy attached to the regular grid over the mire, and some wooden poles used to mark the grid points in 1998 remain in place.' Effort is the number of plots per habitat type (pH level).",
larsen_2018a,1985,Llyn Brianne,CI1,53.3333320617676,-3.75,10,ecological_sampling,FALSE,,,0.05865,sample,hand net dimension given by the authors,300,catchement,area of the Llyn Brianne watershed,5.865e-07,sample,summed area of samples,Freshwater,Invertebrates,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used.",
larsen_2018a,1986,Llyn Brianne,CI1,53.3333320617676,-3.75,10,ecological_sampling,FALSE,,,0.05865,sample,hand net dimension given by the authors,300,catchement,area of the Llyn Brianne watershed,5.865e-07,sample,summed area of samples,Freshwater,Invertebrates,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used.",
larsen_2018a,1987,Llyn Brianne,CI1,53.3333320617676,-3.75,10,ecological_sampling,FALSE,,,0.05865,sample,hand net dimension given by the authors,300,catchement,area of the Llyn Brianne watershed,5.865e-07,sample,summed area of samples,Freshwater,Invertebrates,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used.",
larsen_2018a,1988,Llyn Brianne,CI1,53.3333320617676,-3.75,10,ecological_sampling,FALSE,,,0.05865,sample,hand net dimension given by the authors,300,catchement,area of the Llyn Brianne watershed,5.865e-07,sample,summed area of samples,Freshwater,Invertebrates,"Extracted from data Larsen, S., Chase, J.M., Durance, I. and Ormerod, S.J. (2018), Lifting the veil: richness measurements fail to detect systematic biodiversity change over three decades. Ecology, 99: 1316-1326. https://doi.org/10.1002/ecy.2213. Here, composition of 10 streams of the Llyn Brianne watershed were used.",
